"tipo","profumo ","famiglia_olfattiva","note_di_testa","note_di_cuore","note_di_fondo","ML_venduti_novembre_+_dicembe_ 2024"
"donna","2","citrico floreale","bergamotto,bambù","Ylang ylang,giglio,fiore d'arancio","ambra,sandalo,vaniglia",""
"donna","4","fruttato floreale","mele,mandarino,osmanto","magnolia,fresia","muschio,iris","150"
"donna","13","citrico floreale","bergamotto,petit-grand,limone","mandorla,fiori d'arancio, bacche di ginepro","cedro,cipresso,galbano,cumino dei prati,muschio","580"
"donna","16","floreale muschiato","fresia,peonia,litchi","fresia,peonia,magnolia","cedro,muschio,ambra","3800"
"donna","17","floreale floreale","ribes ner, mandarino","mandorla,rosa,,violetta","vaniglia,opoponax,muschio,ambra","690"
"donna","27","citroco aromatico","note di tè,ananas,mandarino,papaia,bergamotto,limone","gelsomino,rosa,mughetto,cardamono,iris","cedro,sandalo,ambra","990"
"donna","33","orientale legnoso","gelsomino","legno di cashmere,note solari","ambra","4010"
"donna","46","floreale legnoso","bergamotto,mandarino","rosa,gelsomino","sandalo,cedro,muschio,patchouli","240"
"donna","49","floreale fruttato ","neroli,limone","lampone,rosa","note vanigliate,muschiate,ambrate e legnose","0"
"donna","52","orientale floreale","bergamotto,tè verde,osmanto,mandarino,ribes nero,pepe rosa","gelsomino,fiori d'arancio,fresia,rosa,orchidea","muschio,patchouli,ambra,sandalo,vaniglia","220"
"donna","54","cipriato floreale","bergamotto,pera","rosa,gelsomino,tuberosa","patchouli,muschio,vaniglia","575"
"donna","58","fruttato fruttato","pesca,albicocca","fresia,osmanto","vaniglia,cacao","30"
"donna","59","orientale legnoso","mandarino,ribes nero,petit-grain,arancia amara,ananas,pera","gelsomino,lavanda,fiore d'arancio","cedro,ambra,muschio,vaniglia,sandalo,fava tonka","2380"
"donna","60","orientale gourmand","pepe rosa,zenzero,melograno","caramello, fiore d'arancio","vetiver,fava tonka,patchouli,ambra,vaniglia","160"
"donna","62","floreale fruttato ","melone,pesca,frutto della passione","rosa,fresia,gardenia","muschio animale, patchouli","425"
"donna","64","orientale legnoso","bergamotto,lavanda,mandarino,mandorle","gelsomino,mughetto,iris,rosa,ylang ylang","ambria,muschio,patchouili,sandalo,vaniglia,fava tonka","320"
"donna","65","floreale fresco","mandarino,cassis,pompelmo","ylanng ylang, gelsomino,neroli","sandalo,muschio","150"
"donna","73","floreale floreale","fiore d'arancio","tuberosa,caprifoglio,iris","sandalo,muschio,ambra","625"
"donna","76","floreale fruttato ","pepe rosa,ribes nero,pompelmo,pera","rosa,gelsomino,ananas","cedro,patchouli,ambra,vaniglia","590"
"donna","77","fruttato gourmand","lampone,fragola,amarena,ribes nero,limone, mandarino","gelsomino, viola","ambra,muschio di quercia,note legnose,muschio,patchouli,vaniglia","130"
"donna","79","orientale gourmand","pepe rosa, castagna","gelsomino sambac, note zuccherate","ambra,sandalo,vaniglia","650"
